https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1626825600,2021-07-21 00:00:00,LTC/USDT,107.28588568,119.25367433,105.12000306,117.66820148,963230.7176795,8420.7837699
1626740055,2021-07-20 00:14:15,LTC/USDT,107.26747237,107.26747237,107.26747237,107.26747237,0.0,0.0
1626739200,2021-07-20 00:00:00,LTC/USDT,113.12512469,115.01732856,103.80763357,107.26747237,1067730.77232078,9944.64349772
1626653655,2021-07-19 00:14:15,LTC/USDT,113.07123361,113.07123361,113.07123361,113.07123361,0.0,0.0
1626652800,2021-07-19 00:00:00,LTC/USDT,119.12670124,120.63453296,111.91118142,113.07123361,646583.94179243,5614.49744296
1626567401,2021-07-18 00:16:41,LTC/USDT,119.23699999,119.23699999,119.23699999,119.23699999,0.0,0.0
1626566400,2021-07-18 00:00:00,LTC/USDT,119.93485531,123.99644301,116.4,119.23699999,669509.48293829,5598.59017978
1626480998,2021-07-17 00:16:38,LTC/USDT,119.95176176,119.95176176,119.95176176,119.95176176,0.0,0.0
1626480000,2021-07-17 00:00:00,LTC/USDT,120.66108806,122.78826,117.69924593,119.95176176,517079.69316588,4297.72623534
1626394640,2021-07-16 00:17:20,LTC/USDT,120.70249723,120.70249723,120.70249723,120.70249723,0.0,0.0
1626393600,2021-07-16 00:00:00,LTC/USDT,125.93504178,127.80960426,120.3925,120.70249723,308714.7736738,2498.40087951
1626308235,2021-07-15 00:17:15,LTC/USDT,125.68629192,125.68629192,125.68629192,125.68629192,0.0,0.0
1626307200,2021-07-15 00:00:00,LTC/USDT,131.01580428,133.0,122.0621,125.68629192,483158.96523864,3825.21495187
1626222139,2021-07-14 00:22:19,LTC/USDT,130.98646988,130.98646988,130.98646988,130.98646988,0.0,0.0
1626220800,2021-07-14 00:00:00,LTC/USDT,131.45893035,132.28906794,123.8773,130.98646988,571275.34625664,4488.13736367
1626135440,2021-07-13 00:17:20,LTC/USDT,131.4344891,131.4344891,131.4344891,131.4344891,0.0,0.0
1626134400,2021-07-13 00:00:00,LTC/USDT,133.34232329,134.49327393,129.54364795,131.4344891,283249.3704763,2146.79982967
1626048833,2021-07-12 00:13:53,LTC/USDT,133.41524949,133.41524949,133.41524949,133.41524949,0.0,0.0
1626048000,2021-07-12 00:00:00,LTC/USDT,134.2296234,139.72294965,132.00000001,133.41524949,861836.36822313,6308.09977814
1625962434,2021-07-11 00:13:54,LTC/USDT,134.18191802,134.18191802,134.18191802,134.18191802,0.0,0.0
1625961600,2021-07-11 00:00:00,LTC/USDT,134.20109409,136.39157847,132.16134816,134.18191802,160526.43539732,1192.83278785
1625876190,2021-07-10 00:16:30,LTC/USDT,134.0378234,134.0378234,134.0378234,134.0378234,0.0,0.0
1625875200,2021-07-10 00:00:00,LTC/USDT,134.56653602,136.69785404,130.45941,134.0378234,227323.74880329,1713.90941227
1625789625,2021-07-09 00:13:45,LTC/USDT,134.51186414,134.51186414,134.51186414,134.51186414,0.0,0.0
1625788800,2021-07-09 00:00:00,LTC/USDT,131.95791,135.7101,126.08409773,134.51186414,239455.56236854,1820.55711171
1625703418,2021-07-08 00:16:58,LTC/USDT,132.15062264,132.15062264,132.15062264,132.15062264,0.0,0.0
1625702400,2021-07-08 00:00:00,LTC/USDT,137.2,137.6453951,127.97005038,132.15062264,539077.24013256,4067.99361021
1625617478,2021-07-07 00:24:38,LTC/USDT,137.35604386,137.35604386,137.35604386,137.35604386,0.0,0.0
1625616000,2021-07-07 00:00:00,LTC/USDT,138.68133394,142.806497,136.91122632,137.35604386,306764.13463286,2191.80960705
1625530709,2021-07-06 00:18:29,LTC/USDT,138.89400773,138.89400773,138.89400773,138.89400773,0.0,0.0
1625529600,2021-07-06 00:00:00,LTC/USDT,137.68210945,142.75739419,135.68977975,138.89400773,587512.48548441,4218.87059119
1625444284,2021-07-05 00:18:04,LTC/USDT,137.80904627,137.80904627,137.80904627,137.80904627,0.0,0.0
1625443200,2021-07-05 00:00:00,LTC/USDT,144.77402184,144.81932185,134.0,137.80904627,547334.7041827,3960.46948282
1625357985,2021-07-04 00:19:45,LTC/USDT,144.89883194,144.89883194,144.89883194,144.89883194,0.0,0.0
1625356800,2021-07-04 00:00:00,LTC/USDT,140.17842632,148.0,136.91122633,144.89883194,328072.06048081,2274.30273989
1625271422,2021-07-03 00:17:02,LTC/USDT,140.06530774,140.06530774,140.06530774,140.06530774,0.0,0.0
1625270400,2021-07-03 00:00:00,LTC/USDT,136.87356792,141.3108313,134.5602,140.06530774,633834.48281284,4569.92205876
1625185096,2021-07-02 00:18:16,LTC/USDT,136.85425954,136.85425954,136.85425954,136.85425954,0.0,0.0
1625184000,2021-07-02 00:00:00,LTC/USDT,137.17335836,138.95,130.70969966,136.85425954,707339.46265914,5308.07913074
1625098689,2021-07-01 00:18:09,LTC/USDT,137.26858007,137.26858007,137.26858007,137.26858007,0.0,0.0
1625097600,2021-07-01 00:00:00,LTC/USDT,143.71775103,143.80276153,134.24917305,137.26858007,615182.73331132,4500.33848693
1625012632,2021-06-30 00:23:52,LTC/USDT,144.21746104,144.21746104,144.21746104,144.21746104,0.0,0.0
1625011200,2021-06-30 00:00:00,LTC/USDT,144.18567,146.55897959,136.16061224,144.21746104,604899.88625295,4310.94225991
1624925939,2021-06-29 00:18:59,LTC/USDT,144.132705,144.132705,144.132705,144.132705,0.0,0.0
1624924800,2021-06-29 00:00:00,LTC/USDT,137.66061224,149.12542407,137.30915905,144.132705,1314368.01140491,9171.53276539
1624839640,2021-06-28 00:20:40,LTC/USDT,137.34523911,137.34523911,137.34523911,137.34523911,0.0,0.0
1624838400,2021-06-28 00:00:00,LTC/USDT,132.4728,139.44504531,129.7907016,137.34523911,880825.00224694,6586.96755731
1624753137,2021-06-27 00:18:57,LTC/USDT,132.56921162,132.56921162,132.56921162,132.56921162,0.0,0.0
1624752000,2021-06-27 00:00:00,LTC/USDT,126.75963327,132.56921162,124.76511,132.56921162,627725.12957616,4892.87657194
1624666759,2021-06-26 00:19:19,LTC/USDT,126.6703,126.6703,126.6703,126.6703,0.0,0.0
1624665600,2021-06-26 00:00:00,LTC/USDT,124.89571428,129.30083847,118.7902,126.6703,1196419.81691627,9727.37109858
1624580332,2021-06-25 00:18:52,LTC/USDT,125.29547,125.29547,125.29547,125.29547,0.0,0.0
1624579200,2021-06-25 00:00:00,LTC/USDT,134.63,138.38678231,124.37453,125.29547,1358347.72541115,10456.24000881
1624493922,2021-06-24 00:18:42,LTC/USDT,134.56201912,134.56201912,134.56201912,134.56201912,0.0,0.0
1624492800,2021-06-24 00:00:00,LTC/USDT,129.16230436,137.25657678,123.7198116,134.56201912,1008062.62525277,7686.55663994
1624408051,2021-06-23 00:27:31,LTC/USDT,129.1039581,129.1039581,129.1039581,129.1039581,0.0,0.0
1624406400,2021-06-23 00:00:00,LTC/USDT,119.53035,133.79999997,115.52436,129.1039581,1386616.01999407,10970.63361224
1624321079,2021-06-22 00:17:59,LTC/USDT,119.51070069,119.51070069,119.51070069,119.51070069,0.0,0.0
1624320000,2021-06-22 00:00:00,LTC/USDT,124.79342042,132.89817442,105.1195,119.51070069,5205893.60631193,44894.47270765
1624234581,2021-06-21 00:16:21,LTC/USDT,124.43473258,124.43473258,124.43473258,124.43473258,0.0,0.0
1624233600,2021-06-21 00:00:00,LTC/USDT,154.88666774,155.22428571,124.1054,124.43473258,3798852.44613378,27796.77347287
1624148314,2021-06-20 00:18:34,LTC/USDT,154.90521223,154.90521223,154.90521223,154.90521223,0.0,0.0
1624147200,2021-06-20 00:00:00,LTC/USDT,152.5,156.0,143.65339279,154.90521223,2062840.89265188,13773.56722614
1624061988,2021-06-19 00:19:48,LTC/USDT,152.91895027,152.91895027,152.91895027,152.91895027,0.0,0.0
1624060800,2021-06-19 00:00:00,LTC/USDT,156.1437,160.66179464,152.52463259,152.91895027,828809.23354325,5249.13600095
1623975520,2021-06-18 00:18:40,LTC/USDT,156.16224324,156.16224324,156.16224324,156.16224324,0.0,0.0
1623974400,2021-06-18 00:00:00,LTC/USDT,166.96084705,167.30196699,151.5,156.16224324,1086828.3524815,6846.48470675
1623889170,2021-06-17 00:19:30,LTC/USDT,166.9691941,166.9691941,166.9691941,166.9691941,0.0,0.0
1623888000,2021-06-17 00:00:00,LTC/USDT,166.38345,173.34459,163.07701125,166.9691941,493149.72086561,2928.21338992
1623803125,2021-06-16 00:25:25,LTC/USDT,166.48918367,166.48918367,166.48918367,166.48918367,0.0,0.0
1623801600,2021-06-16 00:00:00,LTC/USDT,175.16889896,177.42885463,164.38069726,166.48918367,870232.31611615,5144.85735661
1623716220,2021-06-15 00:17:00,LTC/USDT,175.16889896,175.16889896,175.16889896,175.16889896,0.0,0.0
