https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT
1628899200,2021-08-14 00:00:00,ZRX/USDT,1.05990436,1.10355383,1.05990436,1.07284133,2996.70530468,2758.27668473
1628812800,2021-08-13 00:00:00,ZRX/USDT,0.94524656,1.06463883,0.92309876,1.04865066,20963.00955874,21236.55085549
1628726400,2021-08-12 00:00:00,ZRX/USDT,1.01146973,1.0239303,0.91445613,0.95026046,45758.96636621,48254.21434942
1628640000,2021-08-11 00:00:00,ZRX/USDT,0.97137113,1.04181713,0.95915111,0.9938984,28258.9302356,28204.51877687
1628553600,2021-08-10 00:00:00,ZRX/USDT,0.97148252,0.98872346,0.925,0.97615178,20675.55353707,21745.80923181
1628468304,2021-08-09 00:18:24,ZRX/USDT,0.93164308,0.93164308,0.93164308,0.93164308,0.0,0.0
1628467200,2021-08-09 00:00:00,ZRX/USDT,0.94776383,0.96192604,0.88986568,0.93164308,4996.42873952,5387.18237894
1628381861,2021-08-08 00:17:41,ZRX/USDT,0.94957101,0.94957101,0.94957101,0.94957101,0.0,0.0
1628380800,2021-08-08 00:00:00,ZRX/USDT,0.938,1.0441067,0.91318279,0.94957101,25379.58955179,25766.45828854
1628296166,2021-08-07 00:29:26,ZRX/USDT,0.93245529,0.93245529,0.93245529,0.93245529,0.0,0.0
1628294400,2021-08-07 00:00:00,ZRX/USDT,0.88382695,0.93415127,0.881054,0.93245529,12623.93846073,13883.67079706
1628209113,2021-08-06 00:18:33,ZRX/USDT,0.89492103,0.89492103,0.89492103,0.89492103,0.0,0.0
1628208000,2021-08-06 00:00:00,ZRX/USDT,0.88066712,0.90155081,0.85951166,0.89492103,3953.87818046,4466.67243552
1628122754,2021-08-05 00:19:14,ZRX/USDT,0.89188,0.89188,0.89188,0.89188,0.0,0.0
1628121600,2021-08-05 00:00:00,ZRX/USDT,0.87189251,0.91969487,0.84259051,0.89188,16997.74575348,19258.95633331
1628037424,2021-08-04 00:37:04,ZRX/USDT,0.8564449,0.8564449,0.8564449,0.8564449,0.0,0.0
1628035200,2021-08-04 00:00:00,ZRX/USDT,0.855147,0.87331415,0.825,0.8564449,6820.73872035,7978.82872771
1627949855,2021-08-03 00:17:35,ZRX/USDT,0.85582336,0.85582336,0.85582336,0.85582336,0.0,0.0
1627948800,2021-08-03 00:00:00,ZRX/USDT,0.81656183,0.8560732,0.77910539,0.85582336,9741.58260294,11781.49529211
1627863477,2021-08-02 00:17:57,ZRX/USDT,0.81721107,0.81721107,0.81721107,0.81721107,0.0,0.0
1627862400,2021-08-02 00:00:00,ZRX/USDT,0.78431053,0.82427496,0.75732284,0.81721107,5907.41726918,7516.07562282
1627777170,2021-08-01 00:19:30,ZRX/USDT,0.78251787,0.78251787,0.78251787,0.78251787,0.0,0.0
1627776000,2021-08-01 00:00:00,ZRX/USDT,0.82121059,0.84262534,0.7763322,0.78251787,13158.14882859,16296.91892906
1627690729,2021-07-31 00:18:49,ZRX/USDT,0.81948189,0.81948189,0.81948189,0.81948189,0.0,0.0
1627689600,2021-07-31 00:00:00,ZRX/USDT,0.77987222,0.86318863,0.76601983,0.81948189,36933.2774531,44284.73735755
1627604240,2021-07-30 00:17:20,ZRX/USDT,0.77701326,0.77701326,0.77701326,0.77701326,0.0,0.0
1627603200,2021-07-30 00:00:00,ZRX/USDT,0.75817425,0.77728181,0.71784385,0.77701326,27518.86848489,36478.00890875
1627517943,2021-07-29 00:19:03,ZRX/USDT,0.75881995,0.75881995,0.75881995,0.75881995,0.0,0.0
1627516800,2021-07-29 00:00:00,ZRX/USDT,0.69765247,0.77696671,0.68973376,0.75881995,44013.42217238,59158.26427898
1627432397,2021-07-28 00:33:17,ZRX/USDT,0.707,0.707,0.707,0.707,0.0,0.0
1627430400,2021-07-28 00:00:00,ZRX/USDT,0.70886266,0.72389606,0.69056491,0.707,5859.03367362,8258.28211933
1627345133,2021-07-27 00:18:53,ZRX/USDT,0.70172136,0.70172136,0.70172136,0.70172136,0.0,0.0
1627344000,2021-07-27 00:00:00,ZRX/USDT,0.67795565,0.7542,0.66110163,0.70172136,9623.82631418,13162.25810871
1627258667,2021-07-26 00:17:47,ZRX/USDT,0.67674539,0.67674539,0.67674539,0.67674539,0.0,0.0
1627257600,2021-07-26 00:00:00,ZRX/USDT,0.65657623,0.72433891,0.65657623,0.67674539,5949.08243264,8631.03542551
1627172258,2021-07-25 00:17:38,ZRX/USDT,0.65502844,0.65502844,0.65502844,0.65502844,0.0,0.0
1627171200,2021-07-25 00:00:00,ZRX/USDT,0.65847031,0.65847031,0.6331503,0.65502844,5471.70847141,8480.40459763
1627085817,2021-07-24 00:16:57,ZRX/USDT,0.64865054,0.64865054,0.64865054,0.64865054,0.0,0.0
1627084800,2021-07-24 00:00:00,ZRX/USDT,0.64957468,0.67303894,0.643995,0.64865054,1333.23676522,2018.93085792
1626999297,2021-07-23 00:14:57,ZRX/USDT,0.6501699,0.6501699,0.6501699,0.6501699,0.0,0.0
1626998400,2021-07-23 00:00:00,ZRX/USDT,0.64308677,0.65022551,0.6072306,0.6501699,1151.79935075,1838.67881147
1626913055,2021-07-22 00:17:35,ZRX/USDT,0.64145941,0.64145941,0.64145941,0.64145941,0.0,0.0
1626912000,2021-07-22 00:00:00,ZRX/USDT,0.62893367,0.64145941,0.61265545,0.64145941,12405.41165378,19682.79202013
1626828585,2021-07-21 00:49:45,ZRX/USDT,0.63142936,0.63142936,0.63142936,0.63142936,0.0,0.0
1626825600,2021-07-21 00:00:00,ZRX/USDT,0.54253003,0.65557217,0.5332357,0.63142936,13598.95572802,21739.22187939
1626740055,2021-07-20 00:14:15,ZRX/USDT,0.546661,0.546661,0.546661,0.546661,0.0,0.0
1626739200,2021-07-20 00:00:00,ZRX/USDT,0.58511855,0.5937328,0.52509855,0.546661,38266.10378651,71407.56999494
1626653655,2021-07-19 00:14:15,ZRX/USDT,0.59144895,0.59144895,0.59144895,0.59144895,0.0,0.0
1626652800,2021-07-19 00:00:00,ZRX/USDT,0.62093496,0.62462958,0.57929211,0.59144895,4167.76252306,6992.20501838
1626567401,2021-07-18 00:16:41,ZRX/USDT,0.62538111,0.62538111,0.62538111,0.62538111,0.0,0.0
1626566400,2021-07-18 00:00:00,ZRX/USDT,0.62747325,0.65345948,0.61066545,0.62538111,3292.49142899,5208.55281684
1626480998,2021-07-17 00:16:38,ZRX/USDT,0.62563279,0.62563279,0.62563279,0.62563279,0.0,0.0
1626480000,2021-07-17 00:00:00,ZRX/USDT,0.61878996,0.62965435,0.59963077,0.62563279,3522.54580045,5778.70786003
1626394640,2021-07-16 00:17:20,ZRX/USDT,0.6145197,0.6145197,0.6145197,0.6145197,0.0,0.0
1626393600,2021-07-16 00:00:00,ZRX/USDT,0.67172155,0.67486549,0.6145197,0.6145197,5721.13580941,9031.93175029
1626308235,2021-07-15 00:17:15,ZRX/USDT,0.66162788,0.66162788,0.66162788,0.66162788,0.0,0.0
1626307200,2021-07-15 00:00:00,ZRX/USDT,0.69983976,0.71768569,0.65332098,0.66162788,2085.35655077,3092.83545758
1626222139,2021-07-14 00:22:19,ZRX/USDT,0.71997866,0.71997866,0.71997866,0.71997866,0.0,0.0
1626220800,2021-07-14 00:00:00,ZRX/USDT,0.71198329,0.71997866,0.66620596,0.71997866,4979.06623684,7195.71150411
1626135440,2021-07-13 00:17:20,ZRX/USDT,0.7053944,0.7053944,0.7053944,0.7053944,0.0,0.0
1626134400,2021-07-13 00:00:00,ZRX/USDT,0.74710441,0.74995697,0.70516301,0.7053944,694.68042045,956.39107189
1626048833,2021-07-12 00:13:53,ZRX/USDT,0.74297165,0.74297165,0.74297165,0.74297165,0.0,0.0
1626048000,2021-07-12 00:00:00,ZRX/USDT,0.79507709,0.79507709,0.74,0.74297165,12837.96465986,16669.56447706
1625962434,2021-07-11 00:13:54,ZRX/USDT,0.79491971,0.79491971,0.79491971,0.79491971,0.0,0.0
1625961600,2021-07-11 00:00:00,ZRX/USDT,0.79178847,0.79810253,0.76499188,0.79491971,7166.99624163,9151.41196612
1625876190,2021-07-10 00:16:30,ZRX/USDT,0.781725,0.781725,0.781725,0.781725,0.0,0.0
1625875200,2021-07-10 00:00:00,ZRX/USDT,0.83721433,0.85521202,0.77518412,0.781725,14530.05832009,17937.91022185
1625789625,2021-07-09 00:13:45,ZRX/USDT,0.83910534,0.83910534,0.83910534,0.83910534,0.0,0.0
1625788800,2021-07-09 00:00:00,ZRX/USDT,0.84118582,0.90101649,0.76829853,0.83910534,167440.26724737,193865.50566306
1625703418,2021-07-08 00:16:58,ZRX/USDT,0.84649326,0.84649326,0.84649326,0.84649326,0.0,0.0
1625702400,2021-07-08 00:00:00,ZRX/USDT,0.79003043,0.84649326,0.71167889,0.84649326,15729.99833341,20724.79401252
1625617478,2021-07-07 00:24:38,ZRX/USDT,0.78072154,0.78072154,0.78072154,0.78072154,0.0,0.0
1625616000,2021-07-07 00:00:00,ZRX/USDT,0.71206702,0.82626717,0.70591781,0.78072154,13123.27064862,16616.57805013
1625530709,2021-07-06 00:18:29,ZRX/USDT,0.69786306,0.69786306,0.69786306,0.69786306,0.0,0.0
1625529600,2021-07-06 00:00:00,ZRX/USDT,0.70545326,0.74599863,0.69197705,0.69786306,13361.93142866,18474.65886833
1625444284,2021-07-05 00:18:04,ZRX/USDT,0.69391778,0.69391778,0.69391778,0.69391778,0.0,0.0
1625443200,2021-07-05 00:00:00,ZRX/USDT,0.71927992,0.72340352,0.67649754,0.69391778,795.20318165,1135.15620484
1625357985,2021-07-04 00:19:45,ZRX/USDT,0.72152623,0.72152623,0.72152623,0.72152623,0.0,0.0
1625356800,2021-07-04 00:00:00,ZRX/USDT,0.69239278,0.7385082,0.68169064,0.72152623,573.24100599,803.32111662
1625271422,2021-07-03 00:17:02,ZRX/USDT,0.69468393,0.69468393,0.69468393,0.69468393,0.0,0.0
1625270400,2021-07-03 00:00:00,ZRX/USDT,0.69283471,0.70895652,0.67085943,0.69468393,1418.09484503,2026.98235901
1625185096,2021-07-02 00:18:16,ZRX/USDT,0.69543589,0.69543589,0.69543589,0.69543589,0.0,0.0
1625184000,2021-07-02 00:00:00,ZRX/USDT,0.68648457,0.69587894,0.65492788,0.69543589,4045.08538614,6008.09055542
1625098689,2021-07-01 00:18:09,ZRX/USDT,0.69590209,0.69590209,0.69590209,0.69590209,0.0,0.0
1625097600,2021-07-01 00:00:00,ZRX/USDT,0.74625345,0.76379291,0.67891709,0.69590209,9907.61977031,13830.44800333
1625012632,2021-06-30 00:23:52,ZRX/USDT,0.72895451,0.72895451,0.72895451,0.72895451,0.0,0.0
1625011200,2021-06-30 00:00:00,ZRX/USDT,0.72449007,0.73945961,0.67231059,0.72895451,939.2659603,1326.46975434
1624925939,2021-06-29 00:18:59,ZRX/USDT,0.72389818,0.72389818,0.72389818,0.72389818,0.0,0.0
1624924800,2021-06-29 00:00:00,ZRX/USDT,0.70443593,0.75002058,0.69680312,0.72389818,13928.40032998,19103.85213003
1624839640,2021-06-28 00:20:40,ZRX/USDT,0.70236284,0.70236284,0.70236284,0.70236284,0.0,0.0
1624838400,2021-06-28 00:00:00,ZRX/USDT,0.64025241,0.7127796,0.63139143,0.70236284,4211.63053845,6156.4000269
1624753137,2021-06-27 00:18:57,ZRX/USDT,0.63580812,0.63580812,0.63580812,0.63580812,0.0,0.0
1624752000,2021-06-27 00:00:00,ZRX/USDT,0.59995416,0.63580812,0.58372577,0.63580812,1128.91654559,1848.68100918
1624666759,2021-06-26 00:19:19,ZRX/USDT,0.58809072,0.58809072,0.58809072,0.58809072,0.0,0.0
1624665600,2021-06-26 00:00:00,ZRX/USDT,0.60592324,0.62206667,0.56888268,0.58809072,3890.51578818,6505.21666285
1624580332,2021-06-25 00:18:52,ZRX/USDT,0.60642483,0.60642483,0.60642483,0.60642483,0.0,0.0
1624579200,2021-06-25 00:00:00,ZRX/USDT,0.66992259,0.68252012,0.59607107,0.60642483,3851.11258036,6166.01509176
1624493922,2021-06-24 00:18:42,ZRX/USDT,0.66169599,0.66169599,0.66169599,0.66169599,0.0,0.0
1624492800,2021-06-24 00:00:00,ZRX/USDT,0.64327647,0.67767522,0.613,0.66169599,79237.32196086,118311.68129028
1624408051,2021-06-23 00:27:31,ZRX/USDT,0.64304434,0.64304434,0.64304434,0.64304434,0.0,0.0
1624406400,2021-06-23 00:00:00,ZRX/USDT,0.56960383,0.65681343,0.55945366,0.64304434,13117.12774904,20775.48024711
1624321079,2021-06-22 00:17:59,ZRX/USDT,0.57486876,0.57486876,0.57486876,0.57486876,0.0,0.0
1624320000,2021-06-22 00:00:00,ZRX/USDT,0.60216229,0.64236135,0.4996541,0.57486876,23439.62879608,40396.85297421
