https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1626308235,2021-07-15 00:17:15,EOS/USDT,3.66443249,3.66443249,3.66443249,3.66443249,0.0,0.0
1626307200,2021-07-15 00:00:00,EOS/USDT,3.80319264,3.91402237,3.55588704,3.66443249,149582.70157514,40465.30359422
1626222139,2021-07-14 00:22:19,EOS/USDT,3.80086877,3.80086877,3.80086877,3.80086877,0.0,0.0
1626220800,2021-07-14 00:00:00,EOS/USDT,3.89920144,3.92275433,3.6,3.80086877,160478.72671949,43119.69767113
1626135440,2021-07-13 00:17:20,EOS/USDT,3.8902287,3.8902287,3.8902287,3.8902287,0.0,0.0
1626134400,2021-07-13 00:00:00,EOS/USDT,4.18224954,4.20747958,3.78407763,3.8902287,179864.80855673,45493.37336051
1626048833,2021-07-12 00:13:53,EOS/USDT,4.21201263,4.21201263,4.21201263,4.21201263,0.0,0.0
1626048000,2021-07-12 00:00:00,EOS/USDT,4.06167163,4.36965705,4.04957074,4.21201263,201075.4103752,47572.93799837
1625962434,2021-07-11 00:13:54,EOS/USDT,4.06775686,4.06775686,4.06775686,4.06775686,0.0,0.0
1625961600,2021-07-11 00:00:00,EOS/USDT,3.95582663,4.17241379,3.83752129,4.06775686,127297.78673883,31473.71930792
1625876190,2021-07-10 00:16:30,EOS/USDT,3.9708528,3.9708528,3.9708528,3.9708528,0.0,0.0
1625875200,2021-07-10 00:00:00,EOS/USDT,4.22,4.41556994,3.87636818,3.9708528,146815.53613213,35892.14627759
1625789625,2021-07-09 00:13:45,EOS/USDT,4.21283691,4.21283691,4.21283691,4.21283691,0.0,0.0
1625788800,2021-07-09 00:00:00,EOS/USDT,3.5771878,4.30301918,3.45984008,4.21283691,273662.77330239,69785.55384327
1625703418,2021-07-08 00:16:58,EOS/USDT,3.60553517,3.60553517,3.60553517,3.60553517,0.0,0.0
1625702400,2021-07-08 00:00:00,EOS/USDT,3.83176458,3.83377171,3.53015182,3.60553517,105206.9627992,28665.8427221
1625617478,2021-07-07 00:24:38,EOS/USDT,3.82144277,3.82144277,3.82144277,3.82144277,0.0,0.0
1625616000,2021-07-07 00:00:00,EOS/USDT,3.86878321,3.97405031,3.82005684,3.82144277,82526.30782808,21132.74178021
1625530709,2021-07-06 00:18:29,EOS/USDT,3.88025072,3.88025072,3.88025072,3.88025072,0.0,0.0
1625529600,2021-07-06 00:00:00,EOS/USDT,3.80534106,4.00115302,3.79034576,3.88025072,139125.52638869,35653.00900305
1625444284,2021-07-05 00:18:04,EOS/USDT,3.81191148,3.81191148,3.81191148,3.81191148,0.0,0.0
1625443200,2021-07-05 00:00:00,EOS/USDT,4.05765663,4.05765663,3.76645355,3.81191148,495955.82275079,125777.62128028
1625357985,2021-07-04 00:19:45,EOS/USDT,4.06576635,4.06576635,4.06576635,4.06576635,0.0,0.0
1625356800,2021-07-04 00:00:00,EOS/USDT,4.04301564,4.1824544,3.95801959,4.06576635,356034.62469866,87362.76240387
1625271422,2021-07-03 00:17:02,EOS/USDT,4.05112586,4.05112586,4.05112586,4.05112586,0.0,0.0
1625270400,2021-07-03 00:00:00,EOS/USDT,3.90087173,4.06020875,3.85935235,4.05112586,549196.12396585,136824.75219489
1625185096,2021-07-02 00:18:16,EOS/USDT,3.93,3.93,3.93,3.93,0.0,0.0
1625184000,2021-07-02 00:00:00,EOS/USDT,3.91175004,4.00026551,3.75,3.93,471140.9182677,121851.03748328
1625098689,2021-07-01 00:18:09,EOS/USDT,3.92854041,3.92854041,3.92854041,3.92854041,0.0,0.0
1625097600,2021-07-01 00:00:00,EOS/USDT,4.13150525,4.20555561,3.86076057,3.92854041,250554.98099381,63443.14931018
1625012632,2021-06-30 00:23:52,EOS/USDT,4.1305593,4.1305593,4.1305593,4.1305593,0.0,0.0
1625011200,2021-06-30 00:00:00,EOS/USDT,4.1336304,4.29966308,3.84219189,4.1305593,484477.0519617,117396.47295551
1624925939,2021-06-29 00:18:59,EOS/USDT,4.12237994,4.12237994,4.12237994,4.12237994,0.0,0.0
1624924800,2021-06-29 00:00:00,EOS/USDT,3.86320341,4.28518099,3.85487062,4.12237994,1227148.59966839,298236.07240029
1624839640,2021-06-28 00:20:40,EOS/USDT,3.84535723,3.84535723,3.84535723,3.84535723,0.0,0.0
1624838400,2021-06-28 00:00:00,EOS/USDT,3.78285338,3.93914235,3.69178459,3.84535723,74006.67094342,19566.5329301
1624753137,2021-06-27 00:18:57,EOS/USDT,3.76713134,3.76713134,3.76713134,3.76713134,0.0,0.0
1624752000,2021-06-27 00:00:00,EOS/USDT,3.57649179,3.76713134,3.48724261,3.76713134,41203.78442403,11392.7345164
1624666759,2021-06-26 00:19:19,EOS/USDT,3.565,3.565,3.565,3.565,0.0,0.0
1624665600,2021-06-26 00:00:00,EOS/USDT,3.53,3.6553339,3.35455656,3.565,147270.88575418,42070.5853539
